Vardas         Pavarde        Galutinis (Vid.)  Galutinis (Med.)  
------------------------------------------------------------------
Vardas466      Pavarde466     5.00              10.00             
Vardas351      Pavarde351     6.47              10.00             
Vardas233      Pavarde233     6.47              10.00             
Vardas426      Pavarde426     5.00              10.00             
Vardas346      Pavarde346     9.73              10.00             
Vardas24       Pavarde24      5.13              10.00             
Vardas69       Pavarde69      5.53              10.00             
Vardas22       Pavarde22      8.00              10.00             
Vardas519      Pavarde519     5.73              10.00             
Vardas127      Pavarde127     5.47              10.00             
Vardas413      Pavarde413     6.47              10.00             
Vardas473      Pavarde473     5.87              10.00             
Vardas80       Pavarde80      8.07              10.00             
Vardas315      Pavarde315     7.00              10.00             
Vardas105      Pavarde105     6.47              10.00             
Vardas268      Pavarde268     5.33              10.00             
Vardas10       Pavarde10      5.40              10.00             
Vardas728      Pavarde728     6.40              10.00             
Vardas271      Pavarde271     6.13              10.00             
Vardas187      Pavarde187     8.80              10.00             
Vardas719      Pavarde719     8.53              10.00             
Vardas279      Pavarde279     8.80              10.00             
Vardas280      Pavarde280     8.00              10.00             
Vardas954      Pavarde954     10.00             10.00             
Vardas910      Pavarde910     7.40              9.00              
Vardas422      Pavarde422     6.60              9.00              
Vardas702      Pavarde702     5.20              9.00              
Vardas443      Pavarde443     7.47              9.00              
Vardas895      Pavarde895     8.93              9.00              
Vardas711      Pavarde711     9.47              9.00              
Vardas135      Pavarde135     9.00              9.00              
Vardas917      Pavarde917     8.67              9.00              
Vardas125      Pavarde125     8.07              9.00              
Vardas682      Pavarde682     9.13              9.00              
Vardas445      Pavarde445     5.40              9.00              
Vardas456      Pavarde456     9.47              9.00              
Vardas115      Pavarde115     6.67              9.00              
Vardas457      Pavarde457     8.33              9.00              
Vardas112      Pavarde112     6.80              9.00              
Vardas934      Pavarde934     5.80              9.00              
Vardas480      Pavarde480     5.60              9.00              
Vardas481      Pavarde481     7.80              9.00              
Vardas93       Pavarde93      8.60              9.00              
Vardas843      Pavarde843     5.47              9.00              
Vardas237      Pavarde237     6.93              9.00              
Vardas833      Pavarde833     5.33              9.00              
Vardas828      Pavarde828     7.67              9.00              
Vardas343      Pavarde343     6.53              9.00              
Vardas824      Pavarde824     7.00              9.00              
Vardas356      Pavarde356     7.87              9.00              
Vardas264      Pavarde264     6.33              9.00              
Vardas316      Pavarde316     8.67              9.00              
Vardas313      Pavarde313     6.40              9.00              
Vardas789      Pavarde789     8.00              9.00              
Vardas304      Pavarde304     7.20              9.00              
Vardas793      Pavarde793     6.73              9.00              
Vardas795      Pavarde795     8.60              9.00              
Vardas740      Pavarde740     6.67              9.00              
Vardas185      Pavarde185     5.87              9.00              
Vardas188      Pavarde188     8.67              9.00              
Vardas387      Pavarde387     8.87              9.00              
Vardas733      Pavarde733     8.40              9.00              
Vardas737      Pavarde737     9.20              9.00              
Vardas202      Pavarde202     9.47              9.00              
Vardas868      Pavarde868     6.33              9.00              
Vardas748      Pavarde748     7.20              9.00              
Vardas218      Pavarde218     8.87              9.00              
Vardas750      Pavarde750     9.47              9.00              
Vardas360      Pavarde360     8.87              9.00              
Vardas359      Pavarde359     6.53              9.00              
Vardas223      Pavarde223     9.07              9.00              
Vardas976      Pavarde976     5.20              9.00              
Vardas533      Pavarde533     6.00              9.00              
Vardas517      Pavarde517     9.00              9.00              
Vardas608      Pavarde608     8.00              9.00              
Vardas60       Pavarde60      7.80              9.00              
Vardas61       Pavarde61      8.20              9.00              
Vardas630      Pavarde630     6.00              9.00              
Vardas952      Pavarde952     6.27              9.00              
Vardas75       Pavarde75      6.73              9.00              
Vardas23       Pavarde23      5.27              9.00              
Vardas999      Pavarde999     7.33              9.00              
Vardas945      Pavarde945     7.27              9.00              
Vardas381      Pavarde381     7.60              8.00              
Vardas582      Pavarde582     8.13              8.00              
Vardas382      Pavarde382     9.33              8.00              
Vardas535      Pavarde535     8.80              8.00              
Vardas972      Pavarde972     8.53              8.00              
Vardas739      Pavarde739     7.20              8.00              
Vardas869      Pavarde869     9.20              8.00              
Vardas545      Pavarde545     7.60              8.00              
Vardas374      Pavarde374     8.13              8.00              
Vardas741      Pavarde741     5.60              8.00              
Vardas863      Pavarde863     6.40              8.00              
Vardas397      Pavarde397     7.13              8.00              
Vardas294      Pavarde294     5.53              8.00              
Vardas885      Pavarde885     6.27              8.00              
Vardas407      Pavarde407     5.47              8.00              
Vardas404      Pavarde404     5.53              8.00              
Vardas714      Pavarde714     8.67              8.00              
Vardas181      Pavarde181     5.73              8.00              
Vardas730      Pavarde730     5.27              8.00              
Vardas718      Pavarde718     5.67              8.00              
Vardas532      Pavarde532     5.47              8.00              
Vardas298      Pavarde298     8.13              8.00              
Vardas49       Pavarde49      7.07              8.00              
Vardas234      Pavarde234     6.87              8.00              
Vardas559      Pavarde559     7.73              8.00              
Vardas580      Pavarde580     5.53              8.00              
Vardas238      Pavarde238     8.60              8.00              
Vardas832      Pavarde832     8.53              8.00              
Vardas243      Pavarde243     8.47              8.00              
Vardas250      Pavarde250     8.27              8.00              
Vardas333      Pavarde333     6.27              8.00              
Vardas991      Pavarde991     5.80              8.00              
Vardas325      Pavarde325     8.07              8.00              
Vardas321      Pavarde321     6.53              8.00              
Vardas788      Pavarde788     7.87              8.00              
Vardas349      Pavarde349     6.73              8.00              
Vardas987      Pavarde987     9.20              8.00              
Vardas754      Pavarde754     6.53              8.00              
Vardas273      Pavarde273     8.00              8.00              
Vardas550      Pavarde550     5.40              8.00              
Vardas292      Pavarde292     8.53              8.00              
Vardas220      Pavarde220     6.73              8.00              
Vardas547      Pavarde547     9.07              8.00              
Vardas546      Pavarde546     5.07              8.00              
Vardas745      Pavarde745     7.00              8.00              
Vardas477      Pavarde477     7.33              8.00              
Vardas946      Pavarde946     5.93              8.00              
Vardas697      Pavarde697     7.13              8.00              
Vardas908      Pavarde908     7.87              8.00              
Vardas932      Pavarde932     7.73              8.00              
Vardas136      Pavarde136     8.33              8.00              
Vardas66       Pavarde66      6.13              8.00              
Vardas102      Pavarde102     7.00              8.00              
Vardas914      Pavarde914     7.47              8.00              
Vardas128      Pavarde128     7.33              8.00              
Vardas887      Pavarde887     8.67              8.00              
Vardas71       Pavarde71      5.40              8.00              
Vardas641      Pavarde641     5.60              8.00              
Vardas662      Pavarde662     9.20              8.00              
Vardas672      Pavarde672     6.53              8.00              
Vardas669      Pavarde669     6.67              8.00              
Vardas950      Pavarde950     7.87              8.00              
Vardas77       Pavarde77      6.67              8.00              
Vardas460      Pavarde460     6.40              8.00              
Vardas637      Pavarde637     8.60              8.00              
Vardas461      Pavarde461     8.00              8.00              
Vardas462      Pavarde462     6.33              8.00              
Vardas55       Pavarde55      7.67              8.00              
Vardas644      Pavarde644     7.13              8.00              
Vardas486      Pavarde486     8.00              8.00              
Vardas154      Pavarde154     5.73              8.00              
Vardas152      Pavarde152     8.67              8.00              
Vardas708      Pavarde708     8.27              8.00              
Vardas421      Pavarde421     6.40              8.00              
Vardas495      Pavarde495     8.47              8.00              
Vardas937      Pavarde937     9.20              8.00              
Vardas62       Pavarde62      7.47              8.00              
Vardas143      Pavarde143     7.40              8.00              
Vardas335      Pavarde335     6.53              7.00              
Vardas338      Pavarde338     8.13              7.00              
Vardas297      Pavarde297     7.73              7.00              
Vardas293      Pavarde293     8.20              7.00              
Vardas408      Pavarde408     7.80              7.00              
Vardas489      Pavarde489     9.07              7.00              
Vardas643      Pavarde643     7.80              7.00              
Vardas777      Pavarde777     7.47              7.00              
Vardas598      Pavarde598     7.47              7.00              
Vardas577      Pavarde577     8.27              7.00              
Vardas299      Pavarde299     6.53              7.00              
Vardas483      Pavarde483     8.93              7.00              
Vardas791      Pavarde791     5.33              7.00              
Vardas497      Pavarde497     8.80              7.00              
Vardas723      Pavarde723     7.40              7.00              
Vardas692      Pavarde692     8.27              7.00              
Vardas514      Pavarde514     6.73              7.00              
Vardas606      Pavarde606     7.80              7.00              
Vardas543      Pavarde543     7.80              7.00              
Vardas377      Pavarde377     5.93              7.00              
Vardas515      Pavarde515     8.67              7.00              
Vardas424      Pavarde424     8.47              7.00              
Vardas731      Pavarde731     6.00              7.00              
Vardas540      Pavarde540     6.60              7.00              
Vardas368      Pavarde368     8.53              7.00              
Vardas701      Pavarde701     6.13              7.00              
Vardas418      Pavarde418     5.80              7.00              
Vardas706      Pavarde706     8.07              7.00              
Vardas716      Pavarde716     7.93              7.00              
Vardas398      Pavarde398     8.20              7.00              
Vardas403      Pavarde403     5.53              7.00              
Vardas620      Pavarde620     5.73              7.00              
Vardas603      Pavarde603     7.73              7.00              
Vardas344      Pavarde344     5.60              7.00              
Vardas563      Pavarde563     7.87              7.00              
Vardas347      Pavarde347     8.93              7.00              
Vardas755      Pavarde755     6.00              7.00              
Vardas667      Pavarde667     7.40              7.00              
Vardas675      Pavarde675     5.53              7.00              
Vardas601      Pavarde601     6.60              7.00              
Vardas564      Pavarde564     7.20              7.00              
Vardas753      Pavarde753     5.60              7.00              
Vardas441      Pavarde441     7.73              7.00              
Vardas605      Pavarde605     7.20              7.00              
Vardas512      Pavarde512     6.60              7.00              
Vardas628      Pavarde628     5.40              7.00              
Vardas747      Pavarde747     7.93              7.00              
Vardas366      Pavarde366     5.40              7.00              
Vardas690      Pavarde690     6.73              7.00              
Vardas746      Pavarde746     5.53              7.00              
Vardas111      Pavarde111     6.27              7.00              
Vardas940      Pavarde940     7.33              7.00              
Vardas926      Pavarde926     7.67              7.00              
Vardas834      Pavarde834     7.00              7.00              
Vardas186      Pavarde186     7.73              7.00              
Vardas173      Pavarde173     8.80              7.00              
Vardas920      Pavarde920     5.00              7.00              
Vardas248      Pavarde248     7.07              7.00              
Vardas13       Pavarde13      6.40              7.00              
Vardas253      Pavarde253     7.60              7.00              
Vardas995      Pavarde995     6.60              7.00              
Vardas859      Pavarde859     6.00              7.00              
Vardas195      Pavarde195     5.20              7.00              
Vardas873      Pavarde873     6.60              7.00              
Vardas199      Pavarde199     7.33              7.00              
Vardas201      Pavarde201     7.87              7.00              
Vardas886      Pavarde886     8.27              7.00              
Vardas212      Pavarde212     5.87              7.00              
Vardas857      Pavarde857     5.07              7.00              
Vardas189      Pavarde189     7.93              7.00              
Vardas216      Pavarde216     8.07              7.00              
Vardas38       Pavarde38      8.67              7.00              
Vardas982      Pavarde982     8.53              7.00              
Vardas274      Pavarde274     5.67              7.00              
Vardas808      Pavarde808     8.27              7.00              
Vardas270      Pavarde270     5.33              7.00              
Vardas269      Pavarde269     6.73              7.00              
Vardas997      Pavarde997     7.47              7.00              
Vardas962      Pavarde962     5.20              7.00              
Vardas126      Pavarde126     5.93              7.00              
Vardas797      Pavarde797     5.53              7.00              
Vardas151      Pavarde151     8.33              7.00              
Vardas281      Pavarde281     5.33              7.00              
Vardas282      Pavarde282     5.07              7.00              
Vardas996      Pavarde996     8.40              7.00              
Vardas955      Pavarde955     7.33              7.00              
Vardas801      Pavarde801     6.47              7.00              
Vardas26       Pavarde26      8.80              7.00              
Vardas134      Pavarde134     6.00              7.00              
Vardas966      Pavarde966     8.33              7.00              
Vardas158      Pavarde158     5.20              7.00              
Vardas156      Pavarde156     5.53              7.00              
Vardas8        Pavarde8       5.53              7.00              
Vardas953      Pavarde953     5.27              7.00              
Vardas805      Pavarde805     7.87              7.00              
Vardas463      Pavarde463     5.87              6.00              
Vardas548      Pavarde548     7.53              6.00              
Vardas468      Pavarde468     7.20              6.00              
Vardas434      Pavarde434     7.47              6.00              
Vardas448      Pavarde448     7.27              6.00              
Vardas552      Pavarde552     5.93              6.00              
Vardas919      Pavarde919     7.47              6.00              
Vardas447      Pavarde447     6.47              6.00              
Vardas551      Pavarde551     8.00              6.00              
Vardas137      Pavarde137     5.40              6.00              
Vardas688      Pavarde688     8.40              6.00              
Vardas458      Pavarde458     8.07              6.00              
Vardas124      Pavarde124     7.67              6.00              
Vardas683      Pavarde683     6.47              6.00              
Vardas555      Pavarde555     8.00              6.00              
Vardas505      Pavarde505     7.13              6.00              
Vardas507      Pavarde507     5.40              6.00              
Vardas951      Pavarde951     7.87              6.00              
Vardas632      Pavarde632     6.40              6.00              
Vardas68       Pavarde68      8.40              6.00              
Vardas956      Pavarde956     5.20              6.00              
Vardas957      Pavarde957     7.67              6.00              
Vardas958      Pavarde958     6.13              6.00              
Vardas610      Pavarde610     7.67              6.00              
Vardas613      Pavarde613     6.47              6.00              
Vardas961      Pavarde961     6.27              6.00              
Vardas53       Pavarde53      5.67              6.00              
Vardas529      Pavarde529     6.87              6.00              
Vardas616      Pavarde616     5.87              6.00              
Vardas968      Pavarde968     7.60              6.00              
Vardas90       Pavarde90      7.20              6.00              
Vardas660      Pavarde660     5.00              6.00              
Vardas104      Pavarde104     7.80              6.00              
Vardas475      Pavarde475     5.73              6.00              
Vardas658      Pavarde658     5.80              6.00              
Vardas103      Pavarde103     5.07              6.00              
Vardas938      Pavarde938     5.67              6.00              
Vardas39       Pavarde39      7.67              6.00              
Vardas87       Pavarde87      6.00              6.00              
Vardas971      Pavarde971     6.60              6.00              
Vardas86       Pavarde86      5.60              6.00              
Vardas944      Pavarde944     5.60              6.00              
Vardas947      Pavarde947     5.00              6.00              
Vardas642      Pavarde642     5.67              6.00              
Vardas44       Pavarde44      5.27              6.00              
Vardas770      Pavarde770     7.80              6.00              
Vardas576      Pavarde576     8.40              6.00              
Vardas336      Pavarde336     6.33              6.00              
Vardas337      Pavarde337     6.00              6.00              
Vardas342      Pavarde342     6.20              6.00              
Vardas247      Pavarde247     5.53              6.00              
